"id","availability","description","hauteur","largeur","longueur","nom","prix_unitaire","reference","fournisseur_id"
"29",47,"29E7713Y7YR5A3YOQR6YEQZZ9RZO59PEAT9ATZ61861QZ66E319QTSQO6OPEZ83YS95Z6Z3115S8QY36ATTSSS8YPQ1S8SQR918O5R3QRQA6T276YRE79T51","222","476","457","3O3O6PR4YS98QZR","360.66","7O717","1"
"201",16,"RASOE2QZ7QO7575O3ZY4PE91ZP11RYRS55ZQ9PA7R49QYZZPOST6Z4P296SZ9T4Y39387136P2YP4SRR44PRRAPS167P7OOE21A9PE2SETP166YZSAPSY535","164","382","348","R29RYO7717QRE77","345.84","9S8O1","2"
"20",20,"PYAS5SYE246E6OQPQT3A2T9OS9639QQRET9TSSR552R8TP85AZQO589T838YP9O728ZQT9O5O485TE26TQQZA5T21Z6QOOOOS6PET9O75SP2ST1OE3AR28SR","47","110","286","99AT4882Y77ETQA","40.2","SYO1Y","1"
"42",48,"O68TT6PTSOYZE2YP2Q1PEOZ2EY65T31Q94PZP6Y83OEPO92Z4Z234ZE883T289APS6OTZTS4PQTSR7T6P1E9Z9RE771QZ95T5645A44ZYQA5T7ST12QP991O","98","218","436","QSS2E1OSP9ERTT3","427.34","4YO38","1"
"27",42,"RA157OAZE2971R223S2AYAQ88EE39RSPOZYZRAQ71TT6835426S8OSR4RY44YSQ1YQQY3PPEEO644SR3STSZ6S1898442YQ112QQQRO891RTSTSZ2SAPZ545","54","229","232","351216AR9PR6PQ5","105.22","Z848A","1"
"10",48,"PPOARRY36OE382EA6Q9TRPS48AYA59TA7R827Y1E8T4TEZ9PP7O59YROTYA6326Y5RP26P93279861R7S2RP3P53R18A6OS2579QA4OST481P9SPO5S1A5AP","476","208","422","PE72E55YSSYE8AO","182.91","S1T99","2"
"16",96,"52A9SRSZYT2A46Z7E2QPQES7T325SA661587YA4576RP8SE7OPYTOE152AOTA142PERSO17S812QZ38536RSA55855PSZ3YQ86S1EAY6EQQT1R45YSST79E4","327","353","274","47ZQQ82ZPR679QS","342.35","A87AT","1"
"469",94,"8ZETRTP599O5R2YSP73OP4P6R1YOZYEQ7TS2AQEQ74OQO139Y54O5TAQAOE915R62EA7ETRYTQ5O6351A49TRRROAZ1R7RYA3QOYA11RY4OOAP18RT67P2ZO","80","180","326","O38Z376RQ1694A5","437.2","34A15","1"
"365",20,"9SZ5EARZORZ4RS4PE26QEAA27PZ867ZZ37A8Q4556ZAPA6OQ2Z4ES2T8713S7T2PA45OT96E2EO7TR16AA89OZ9O6Z82S97QSQPQO4ET1A6QPQ22O1P7OZ9Q","72","103","484","O39ZYQ58TSZ6Z2E","229","6Y96Q","1"
"120",16,"1ATPS32PE27AT7OPP5R5ZAQ8AR61RQ1ZZZ274265S9218A4SOZ7Y3RAYYQZS68ARO9RTOTY7Q2RS5O18162545APA5SYA6S446915QE9AA8376YYZPZOO6ZE","256","336","51","1Z83627R482PR64","433.15","4TO95","2"
"719",14,"8EZ339YS1PO9839ZRA48772OOQS52R673ZOA6Q2T37SPAYYR6EQEP2A9E7P6YQ2RRE81O16SROE7R95ZA16A5589833YAYOR15Y5SE4OZ2SO3ZQ3Z1R7413O","326","322","470","8QTQ58P6O6P191Y","490.7","8O2EY","1"
"11",90,"AYOS9PE51Z83RS1T4ATS89SZ21RR59SP8SYY7Y3A1AQ3ZO6YO54Q2AR9OQ44611Z4E584821A9RSR3ZRS6SY2YT9OEEZS9Q79AEZE13541Q2S9PQT2OZZ7A3","369","329","334","2O6YRA4S1SQ5ERO","124.91","83E66","2"
"357",92,"QSZ7OO6RSP5S13222TP92A738EET85AE4A8O9ZE9PTR15R4A184AA54Y6S67EY6QA4TPR3Z92QY6QET1OP9SPS6S8EZ9915OS4O27Y39T3REAY59P7R3SRZR","346","398","123","AYQ18TZOYTYQQYE","427.36","48T33","3"
"7",29,"T66Q194Z7R2S91TA35REOYPAOYPZZ1TQ2REEZO44T93ZQ5OE12APEZAQOYQ1EY19Z7QQYP69EA7AAZT89614AQ1EAY894RP3EETZZR3TY377EO942SZ1Q82E","222","417","43","OQ9PRPZRAR67RQT","263.8","A7E9Q","1"
"161",10,"ET51O5O8QREO47ETS47TZ7POTES1T221ETA2Y8R79ZPY415SO82YSAATR8PAZ4QY7615OS5A5RTPE81Z34OTRAR11T754TASOQ133AAPPTS7Y3449S4SR9RY","293","30","185","9318AT12P9Z83SR","466.1","QQ3EE","1"
"13",45,"6SYT43278OET818O14TYQEORRZ135P7YR1A83T83ATPAZ776Z2Y6A1Y7OT4EAT681ET5T95T1QZ7155A78745Y1R167S1OARQRR7AY1S5SS5O3333SR68ZOS","428","324","90","S8TT18R4OQ7QAZ5","462.7","967TO","2"
"18",2,"437P6ZEYYR242Z4OT2TZ3O4499E3TPY6S7EEEOZ3YE3APP4OAT81Q13PET85O4Z5P18P2R5SZZTP5TSEET71OE6Q4PY648OEAS3TQ6RPA823EZRP4657RS4T","306","463","217","ZTS95S2S14YA631","47.86","O72S9","3"
"717",97,"ESPZZTR7846P93EEEQP8QT28P52ARQ56O369S3PPZO2E12STO35SZT59Q8OAAQA61ESEZZ2TS5Q11ZA9Z71OT36OOA8Y8R2YPY6Z51ZA69196OR7SO1RRZS6","166","126","491","Y65Q4TQYYEYA1Y3","473.79","78R1Y","1"
"17",72,"2Z83QTZ44PT3T1ZA9OZ95Q5Q74ES5TTP197534YYO8E9O8YE4T14Z8QY6Z6YYQA6Z6PZEP349SPO133Y9YR3Y375S692SPET2O3T8P311P777ZTE17RSRP8Z","421","82","98","8955YA9QATEROP7","433.5","22219","3"
"25",24,"TE5P9PPQE4ZA73EQ2734R7ZEZ559278631RAP4QEQ4A7AESOY5448Q5SP52P39O1O4Y877TQZ6618497A23EOZEO2RRTPTE59SQYY23YOS5SQ856Y7Z66E3S","139","175","500","16EE9P7E8SZ7E3S","95.37","24YPZ","3"
"473",29,"Y1YQR24S5Q4Y6196OZ969999QTS9Y1Z54Q52Q32E51SARTP9ZO619AOOQ25TTAS86T7SE19A7Y3542QZYZ88SQA47ES1YO9375S839Y7RR5ET35AOASR2118","162","292","146","OREQ52OE32P47E9","190.56","RQZOQ","3"
"37",20,"611AZZPEZQ1PS9A36141AY5565RS52Y22QZ3EE5Q3O6OQ81POO2YA32S5TASO5246TA1EAQ6S7OT4E31EZ1O3Z67P197E3156T1A8ET6RT31QOTRQ7R45A1Z","187","24","478","1ET2ET93636616Y","160.8","AY92S","2"
"200",54,"5O6259Z9PRZE139AYPQ5R624165368Q17SZT25Y8R2Y6SYSZ719QPS1ASP75775RRROTQ28Y61RO33T96R7A5A76QZS9481A8R97OAE1P3EOZP29Z61QE6Z5","394","208","70","Y5TTT2OSAPSR728","347.38","1O6P3","2"
"36",5,"T4EYE3Y4EES6Q2YQET3OPQ49POSY255O1R4818EQ74RZ39OSO3O7S1A699SOPP8424295POQ54RT3O9E47Q9Z9A8213R7A9YP12TY76Y1S5R89OQ49176749","377","252","65","Y9342QYZZ57ZTE2","303.81","AZAA7","2"
"22",19,"A9Y884S47Q4S291QTQ58R4Q5POP77ZYZP2932TSRYARY2Y78S8R35ZZ9SP71YY19726A88YY65S7RYA6SO8OO6O6TAO55T98SOT4S6E8AO6APY94435RZOT9","317","171","438","127OR1678Y7P9QP","395.62","AE1Q6","1"
"30",91,"7Y5R14ZER798OPZOAR92YQ84Z612R631S54152P459O9SAE5TYAO56S7YYET17YA9OY54T75625TA2R14YYZ1TYZ7ATPZ6568Q13355AQ8YAE741EERY759Z","110","216","445","2ZO7T8Q242PY481","324.62","Z9QR5","2"
"5",37,"758ZRO333R1PZ5SZZT57YS4377Y39ZZ6S9RSE18ER56Q4Q71QY6YS4Z3QAARQRT99O44R74O8T19EO8P3173E89S3T9QT925YR4T3S24PEYRA8AERQQ7O26P","360","423","450","2YEP9YQPS47P9QT","451.4","76PRO","1"
"196",67,"6516T1QOA3TZEQ139E33SETR8SAY67TQ3ROE4SQOPQ4ET7R5626E5TY9ZQ9ES89QQ22ZA9S3PTZE18PA45AT48Y1TZ25AR7OR5TZ21P2AY8OS4YR64T1ERQ4","458","280","200","98932A518YSAT2Z","417.37","36T2A","2"
"31",45,"AE27QRQAOP7O9O6AP3Y8PZ6TO2RS5EAO3S94AOQEPOQ6Z6SOQTSZRZ2QT8A2465ZSZ1RORAPTT98RYP3AAETSOY6ZS68P5Y934Q4O21ETZ8ZYY3RA23ZZZ41","120","277","496","QYY8O8682QEAE4Y","197.79","RZSY3","1"
"519",8,"A11EO885R8S8S7656QYZT7QEE3T9AO7RTZ8781S512AEZ7YPPPRE9ERRR5T9679TOP6925QSARQETAYOSP7983O65969YYP7T2ES94Z7Z94YAO74T8E36T12","444","493","63","61RTASO4R9AYA8A","321.95","Z4YQ5","2"
"6",78,"71AT6A33TSQ9TQ222691968TRR8RR6TA1PPARY5Y6A4OA5E66Z66P343E73T83P3RSS8Y583POO1OQ217A58ZE3TRO47RZQ994E448AP339S5TQTQS5OSE87","445","408","295","TSORS69TP78OZ87","424.27","YOZPE","1"
"471",99,"758EAZ219513Z9TY6O8E4YQT63P93EEQ4EPR2E4731T96OZ539YRT3S27Z62AZYY241T1283S9T1SS38ZRQTYR7R512QE2ET5R879AATYE671Y76PY3A5YOR","323","333","329","74YERZ9QAARR87Z","217.49","2E9OR","1"
"371",45,"9P2O886OEZ7R5YZ93E92345PPSS5EYSA1OOTQ728TRSZYR89T2R9PP7P8EO6P18EQTQ2R4ZR767T7S562A8QO5YSY53RA712P135ZA5P45YZP66665A39166","188","321","175","PZT27A3955Y9E61","452.58","32S54","2"
"3",1,"PE11A63ES3Z766YZT944YA11EP77S2OA4OTA9E52YO36Q73Q517T2572PE2P16R79Z4TE28SATO983Q97RTAAEZT17A668PQ6A899RZ7O39578Y8APTZ66O9","175","317","414","APA1Q5SA3S85R78","161.52","6RZ6P","2"
"377",79,"PAYRPA92ER39ZQ8O7354T378QYEY5O8P6PQO3Q2947E56S5O58Q7O2A9Z78ZT1O22944Y88O7QR9RQEOAOA434R384PQY573T48E3E32YRSE1S1SPZ98PQY2","263","493","281","O6A4P89Q996O316","106.83","AS4PA","2"
"467",83,"A7O9Y23O5YP1Q3541T7TPZ51683ATO1PR26O6SOO31YA5SRY2R3ZOYT6SPS3AOR8ZO96RO3O9YEO5SE477OTRR122Q8EY5TY7QPEQYQ758R5YAQTEOATSS38","39","219","148","S5Z9Q4P5R2OYP43","478.94","3832Z","1"
"177",54,"O176RQO979RTAQTOT4Z3RZE15O2312252PR615Q7868ES597YOY68ZQZ22ZOY3O114O6QSS9S5T6129T832Y579A588ZS8689S1P84ZTP11O874AY86T6P47","393","24","332","AOOR1785OSYQZQ5","375.53","4EE32","3"
"154",45,"Y5AY7ROQ8PER69TS13PRTZQPZ417493E5E65AQY6SE1ORQ26OPP46Y463SARQA4TA17YSO8T8R9S8OSQT1636463P3TQ7OTROQTO9T84136T55TY8Z1YR572","437","329","146","Z91TY36P4A6TORP","282.95","EZTRO","1"
"585",13,"11E2Z86EO98EP822AO16S6QP477Y5S12391S5Q252RYSP2R2SRO7P2R5958STS3RR2E2T8T58R4YE2Q9148QRY32R4TQT3RSSQQ9AQ27YE26OR3EE9485APZ","388","473","192","32E17ZS2Y1OZTAY","267.13","O7SO4","3"
"256",32,"Z4PY73PAP6EZT694YZ8937E3Y323S85QSQ396PQ6OPY5221SZ6796AYSRYS7S1R4SQ7ETP54Z95E9S6S6R87TYZZT72296Y8TP398PRS348TEA9ZO6A1PTO8","64","438","409","T84PR18QS5T13ES","252.91","29Z7Y","1"
"57",44,"11Q7E5AATRPOA692QOZE3P6Z81S5Y3Y72416Z22O81ASE47EZ34R3P1EOS6OAYY46116R281369PQYT34PSY4SS6YQSZR9EET7EE92PQ1ROA1Q7168T52O62","300","429","287","9QSQ3SRSYZ2R1S3","442.13","4EE3R","2"
"121",100,"YP87AEQQY4ZRY88Z12SZZE14Y2742AZAR53Y1EP16Z6PO373TE1E6681Q87PZ17A54QYZ631E8E3S28A12ZAQT8PT7R5EYPY1O19QSAESQ124R31969Y3SZZ","453","411","130","AEAQ5547E4SRYA5","102.38","163RQ","1"
"130",31,"7SP67P74OT7Q654325234YRZS3O99AE92YSYO14EREYQ53QZEAT5TZ99Y719Z3RQ5RY7OS5T22Z6O9536Q8E428QRS6E4P6STQY99317E2TRR5RY69OZ3E38","162","322","455","8A3S96988S87862","145.13","3186Q","2"
"230",53,"ZZ2SPQ48OTZ3O12QA429Q745EO32TQ53Y5R24Q4E2ZP5799SA9SQE214OR4E784P949326Y29OSAQ77TS6SR6O9TZ83698SA4OTATSP2ZETAYOQ4PR73R4A1","328","214","103","SO5EST386PZ7ZQ7","242.26","R63ZO","3"
"268",2,"56RS4P49RPRTE4PAO5YS8747Y495YET8RE7541Y44TA5Q8SOA79EA696S2787TSOTEZ2ZSY5R4Y6TQO72TS396AZ2559ST5843TQAT61Y4Y97AZ94TZ2Z1TY","105","173","150","T1Q6ZOT5Y47TPOR","449.57","3O1SY","1"
"15",2,"ATYQTZ1RYSPR976T5RZP842S4AY6Q32619E7AS7S72APZZTT5ZYSY3ZA7Z14417S7PS5T7RA1R3Y9YZ7A49ESTP3Y86OS7QYEO39STO25T8993117A54S3P7","409","159","382","Z228992SYY6ZPTP","486.16","8451Z","1"
"148",78,"EOAQSYYR2ZQ1OS57Q417Y91TQTZ1AE9751RPTR3AP39ZQE9P4Z8QPA15E5A4SZO472PP38343T35Q3SO7Q78Q34QR4SSO64EYYSO54S25Y6RSRSQAT7E12AA","333","119","391","1TTO7E57Z71YZQ5","370.26","A418S","2"
"181",52,"995RZ42SPSEQOPO9SPE89PTS3QZ821151S2YA86SS55QR7YQ3Q5TRYA4ZR6P2P28R5853QZ828Y8461R6A1T1P2YA6OQ342A6E1QS43PRPZZ258Q994OP7S6","165","440","444","ZZ35S578TZ74PEE","360.8","8T41E","3"
"127",20,"T544ZYT53Y9ATR4941999OE64T2EE4ERRY64Y6PPQ48OZT336OR1ERP5E9R36Q859OTQ171PE9O1483P48S5RQ4QA99178PE9Q8Q4375POP28AS6Q5P4O2ER","460","113","478","SQZROSZAET33R4E","45.56","YQQSE","2"
"186",46,"49YAE94QE5O8R5RQ455EEQ36PAQ31T3TPOS3Y8Q85YA7Q1T23Y9AQQ56Y23O837A5ER59QRP41A41SQ3Q611T1Q8Y59S8T2OYS17RAS3AZS7555TYEQ2A48Q","424","21","498","2YQ3P5ARS94TZRA","497.37","9RP4S","3"
"284",61,"633RY5TQ3TO4T127RZ2Z318A73ATOR1PES9787Z6OR7RR9A8TT4O546S5O1OS16Y92ZQSE12YY4TTYY9E3SYO6Q87QO81695S9TEY9PRS589E21E14ORQS93","135","342","498","4ETYZE2T56ZRRSO","426.21","13EYO","3"
"63",8,"P4RR9TZ6Q78ZAEASE7E4Z5PP94A4E3PY5TYS494449Y3Z7EQ8ER69R61ETORZ33AOESAZR37Q8ERP3A9E55T6QP4A8SA85QT341REPPOR5TYO8O6OP3Y368A","348","395","106","QS86AT9APQQ92Y1","203.9","O49E7","1"
"132",83,"2Q2R5PEYPQ77TS4AZ3E52Z73RP6ZYZRR87Z94TRZ89O15AO97S7T8YS66YOZ4Q6875ARE6Q8RPOAAT3238A673OEQQRS8T537RQ2O9OA4YOST7Y7E78R38ZA","448","27","143","33RR94SEQ92Z1A2","111.86","4Y1R5","3"
"226",49,"1258ZEQ9Z4539A1Z334A179351PE3S8PR3Y8SQA27Q777Q22P88213RZS3RRQSY2Q5ZYP1A3S9112AEAQ7ZOQ23O8759A56YQPE53OTE7OPZ8A718A3ZQ48R","472","489","108","YEE5Z17Y2Y338OS","281.99","4E8AR","1"
